draft_player_name,draft_year,pos_group,height_inches,ast_per_40,college_bpm,height_formatted,manual_override_position,review_reason
Adreian Payne,2014,Big,81.0,1.885086140854104,5.12079,"6'9""",Big,Short Big
Otto Porter Jr.,2013,Wing,79.5,3.062924059897534,12.2848,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Alex Oriakhi,2013,Big,81.0,0.5466338799930296,6.86739,"6'9""",Big,Short Big
Royce White,2012,Guard,79.0,6.343285948987295,8.11031,"6'7""",Wing,Jumbo Playmaker (Review Guard/Wing)
John Henson,2012,Big,81.0,1.7271237845319998,9.21641,"6'9""",Big,Short Big
Chandler Parsons,2011,Wing,80.75,4.426387493445893,8.53658,"6'9""",Wing,Jumbo Playmaker (Review Guard/Wing)
JaJuan Johnson,2011,Big,81.0,1.097268698561997,7.01641,"6'9""",Big,Short Big
Jeremy Tyler,2011,Big,81.0,0.0,0.0,"6'9""",Big,Short Big
Lavoy Allen,2011,Big,81.0,2.6785388074037844,5.82565,"6'9""",Big,Short Big
Greg Monroe,2010,Big,81.75,4.398617800924776,7.96374,"6'10""",Big,Jumbo Playmaker (Review Guard/Wing)
Da'Sean Butler,2010,Wing,79.0,3.505182333057241,8.37694,"6'7""",Wing,Jumbo Playmaker (Review Guard/Wing)
Ekpe Udoh,2010,Big,80.75,3.0943308956457245,11.4607,"6'9""",Big,Jumbo Playmaker (Review Guard/Wing)
Landry Fields,2010,Wing,79.0,3.0689103448275863,8.84988,"6'7""",Wing,Jumbo Playmaker (Review Guard/Wing)
Paul George,2010,Wing,79.75,3.7028687165823753,6.65875,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Cole Aldrich,2010,Big,81.0,1.2876261682242989,11.5905,"6'9""",Big,Short Big
Ed Davis,2010,Big,81.0,1.3728219995981286,7.48356,"6'9""",Big,Short Big
Jeremy Evans,2010,Big,81.0,1.1098867924528302,8.11588,"6'9""",Big,Short Big
Tiny Gallon,2010,Big,81.0,1.3483165004445232,1.8802,"6'9""",Big,Short Big
Earl Clark,2009,Wing,80.5,3.753921033664719,6.6726,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Ahmad Nivins,2009,Big,81.0,1.016678612640365,5.55748,"6'9""",Big,Short Big
Robert Dozier,2009,Big,81.0,1.8962013754211315,10.3938,"6'9""",Big,Short Big
Jason Thompson,2008,Big,83.0,3.1606944186908956,7.26127,"6'11""",Big,Jumbo Playmaker (Review Guard/Wing)
Joe Alexander,2008,Wing,79.25,3.0958132937343468,5.50638,"6'7""",Wing,Jumbo Playmaker (Review Guard/Wing)
Maarty Leunen,2008,Big,79.25,3.2403193658767004,10.6828,"6'7""",Big,Jumbo Playmaker (Review Guard/Wing)
Anthony Randolph,2008,Big,81.0,1.4960548236112552,2.51214,"6'9""",Big,Short Big
DJ White,2008,Big,81.0,0.9050076452599388,6.16715,"6'9""",Big,Short Big
Sasha Kaun,2008,Big,81.0,0.6798866855524079,8.1954,"6'9""",Big,Short Big
Walter Sharpe,2008,Big,81.0,2.6756352165415165,6.04558,"6'9""",Big,Short Big
